date,mine,mine_type,target_mt,actual_mt,shortfall_mt,shortfall_pct,equipment_downtime_hours,rainfall_mm,blasting_delay_hours,maintenance_hours,equipment_availability,production_ratio
2021-03-01,Chikla,Underground,16800,15390,1410,8.39,19.6,29.2,1.4,26.2,0.7987,0.9161
2021-03-01,Tirodi,Opencast,14600,14660,0,0.0,5.2,20.6,1.4,10.8,0.9424,1.0041
2021-03-01,Gumgaon,Underground,12300,11480,820,6.67,40.4,0.0,0.8,15.5,0.8098,0.9333
2021-03-01,Kandri,Opencast,11200,10730,470,4.2,21.2,7.9,13.8,13.1,0.8437,0.958
2021-03-01,Mansar,Opencast,9500,10120,0,0.0,11.5,0.0,3.9,9.2,0.9081,1.0653
2021-03-01,Ukwa,Underground,10600,10400,200,1.89,6.9,22.4,4.3,23.9,0.8885,0.9811
2021-04-01,Balaghat,Underground,38000,35250,2750,7.24,30.2,18.1,7.1,28.1,0.7624,0.9276
2021-04-01,Dongri Buzurg,Opencast,32000,30120,1880,5.88,27.6,6.4,3.2,10.2,0.8586,0.9413
2021-04-01,Chikla,Underground,15000,13470,1530,10.2,35.5,24.1,10.8,26.0,0.7831,0.898
2021-04-01,Tirodi,Opencast,13000,11500,1500,11.54,46.8,7.3,0.5,26.3,0.75,0.8846
2021-04-01,Gumgaon,Underground,11000,10970,30,0.27,3.5,15.9,4.4,33.1,0.8677,0.9973
2021-04-01,Kandri,Opencast,10000,9500,500,5.0,18.9,19.0,4.3,33.7,0.8051,0.95
2021-04-01,Mansar,Opencast,8500,8080,420,4.94,18.1,22.3,4.0,19.8,0.8342,0.9506
2021-04-01,Ukwa,Underground,9500,9150,350,3.68,9.0,13.8,5.0,23.9,0.847,0.9632
2021-05-01,Balaghat,Underground,38000,34950,3050,8.03,26.3,2.1,3.3,34.5,0.7831,0.9197
2021-05-01,Dongri Buzurg,Opencast,32000,25460,6540,20.44,72.6,34.5,5.6,14.6,0.6931,0.7956
2021-05-01,Chikla,Underground,15000,11700,3300,22.0,75.6,42.1,1.8,34.1,0.62,0.78
2021-05-01,Tirodi,Opencast,13000,12870,130,1.0,6.1,9.0,1.5,26.0,0.8729,0.99
2021-05-01,Gumgaon,Underground,11000,10410,590,5.36,17.1,10.3,1.3,34.3,0.7956,0.9464
2021-05-01,Kandri,Opencast,10000,9680,320,3.2,2.7,0.0,1.0,29.2,0.8468,0.968
2021-05-01,Mansar,Opencast,8500,8050,450,5.29,17.1,12.6,3.2,35.5,0.8212,0.9471
2021-05-01,Ukwa,Underground,9500,9390,110,1.16,13.0,2.7,1.3,28.9,0.8665,0.9884
2021-06-01,Balaghat,Underground,38000,29430,8570,22.55,83.4,59.6,2.2,8.3,0.6432,0.7745
2021-06-01,Dongri Buzurg,Opencast,32000,28490,3510,10.97,33.0,71.0,3.2,9.4,0.84,0.8903
2021-06-01,Chikla,Underground,15000,10460,4540,30.27,91.6,84.8,11.4,19.2,0.62,0.6973
2021-06-01,Tirodi,Opencast,13000,9560,3440,26.46,61.2,97.1,7.7,27.8,0.6599,0.7354
2021-06-01,Gumgaon,Underground,11000,10650,350,3.18,12.0,65.0,1.7,16.7,0.8812,0.9682
2021-06-01,Kandri,Opencast,10000,9130,870,8.7,19.6,67.2,15.3,21.0,0.84,0.913
2021-06-01,Mansar,Opencast,8500,8190,310,3.65,12.7,72.7,4.6,28.8,0.8373,0.9635
2021-06-01,Ukwa,Underground,9500,8990,510,5.37,22.1,73.0,1.0,28.4,0.8086,0.9463
2021-07-01,Balaghat,Underground,38000,36570,1430,3.76,0.3,328.6,0.7,22.4,0.9093,0.9624
2021-07-01,Dongri Buzurg,Opencast,27200,15260,11940,43.9,64.7,335.1,26.0,32.4,0.6886,0.561
2021-07-01,Chikla,Underground,15000,13000,2000,13.33,20.2,352.1,0.3,18.1,0.8389,0.8667
2021-07-01,Tirodi,Opencast,11000,6070,4930,44.82,77.4,342.5,12.5,20.2,0.6391,0.5518
2021-07-01,Gumgaon,Underground,11000,8960,2040,18.55,48.3,336.4,8.5,18.6,0.7657,0.8145
2021-07-01,Kandri,Opencast,8500,5370,3130,36.82,58.5,351.9,16.9,14.1,0.7206,0.6318
2021-07-01,Mansar,Opencast,7200,4480,2720,37.78,58.7,346.9,25.0,28.7,0.7043,0.6222
2021-07-01,Ukwa,Underground,9500,8910,590,6.21,18.4,331.4,1.2,10.3,0.8746,0.9379
2021-08-01,Balaghat,Underground,38000,33430,4570,12.03,28.2,332.8,0.8,17.3,0.8146,0.8797
2021-08-01,Dongri Buzurg,Opencast,27200,16300,10900,40.07,50.2,357.5,11.1,34.1,0.7178,0.5993
2021-08-01,Chikla,Underground,15000,13300,1700,11.33,9.3,338.4,1.6,30.7,0.8599,0.8867
2021-08-01,Tirodi,Opencast,11000,8320,2680,24.36,24.1,328.6,14.2,24.8,0.8232,0.7564
2021-08-01,Gumgaon,Underground,11000,10360,640,5.82,16.6,325.9,0.2,14.2,0.898,0.9418
2021-08-01,Kandri,Opencast,8500,6240,2260,26.59,27.7,338.1,22.2,11.7,0.84,0.7341
2021-08-01,Mansar,Opencast,7200,4820,2380,33.06,39.3,315.6,43.5,17.1,0.784,0.6694
2021-08-01,Ukwa,Underground,9500,8680,820,8.63,21.3,356.1,0.2,21.6,0.8574,0.9137
2021-09-01,Balaghat,Underground,38000,36490,1510,3.97,22.0,118.9,6.5,22.9,0.8457,0.9603
2021-09-01,Dongri Buzurg,Opencast,32000,26390,5610,17.53,36.8,129.4,2.1,11.0,0.7885,0.8247
2021-09-01,Chikla,Underground,15000,13490,1510,10.07,30.4,144.3,2.3,16.1,0.8405,0.8993
2021-09-01,Tirodi,Opencast,13000,10110,2890,22.23,31.2,122.9,2.5,36.0,0.7726,0.7777
2021-09-01,Gumgaon,Underground,11000,10750,250,2.27,5.5,125.8,2.3,11.2,0.9243,0.9773
2021-09-01,Kandri,Opencast,10000,9350,650,6.5,7.9,122.6,6.3,34.4,0.8568,0.935
2021-09-01,Mansar,Opencast,8500,7850,650,7.65,17.1,144.3,1.8,23.1,0.8516,0.9235
2021-09-01,Ukwa,Underground,9500,8870,630,6.63,30.1,136.1,6.5,10.6,0.8412,0.9337
2021-10-01,Balaghat,Underground,38000,31890,6110,16.08,64.2,21.2,1.3,10.9,0.6914,0.8392
2021-10-01,Dongri Buzurg,Opencast,32000,28910,3090,9.66,32.4,7.6,7.5,22.1,0.8003,0.9034
2021-10-01,Chikla,Underground,15000,15410,0,0.0,6.7,3.6,2.3,21.6,0.8987,1.0273
2021-10-01,Tirodi,Opencast,13000,12310,690,5.31,5.9,38.5,2.2,25.7,0.872,0.9469
2021-10-01,Gumgaon,Underground,11000,11530,0,0.0,7.9,14.5,2.8,27.8,0.865,1.0482
2021-10-01,Kandri,Opencast,10000,10170,0,0.0,2.3,31.3,3.5,32.1,0.8913,1.017
2021-10-01,Mansar,Opencast,8500,7790,710,8.35,34.2,41.7,4.5,12.1,0.8175,0.9165
2021-10-01,Ukwa,Underground,9500,9390,110,1.16,12.6,4.8,2.3,22.2,0.8745,0.9884
2021-11-01,Balaghat,Underground,38000,36940,1060,2.79,10.2,0.0,1.6,33.4,0.8563,0.9721
2021-11-01,Dongri Buzurg,Opencast,32000,27100,4900,15.31,57.0,0.1,1.6,30.3,0.676,0.8469
2021-11-01,Chikla,Underground,15000,14450,550,3.67,11.6,27.2,1.3,16.1,0.8919,0.9633
2021-11-01,Tirodi,Opencast,13000,11660,1340,10.31,26.2,9.7,10.4,25.0,0.8157,0.8969
2021-11-01,Gumgaon,Underground,11000,10640,360,3.27,7.6,10.8,0.1,30.7,0.8678,0.9673
2021-11-01,Kandri,Opencast,10000,8890,1110,11.1,30.4,23.2,0.7,30.1,0.7627,0.889
2021-11-01,Mansar,Opencast,8500,8450,50,0.59,10.2,13.9,7.6,14.4,0.8922,0.9941
2021-11-01,Ukwa,Underground,9500,9240,260,2.74,13.3,2.1,0.1,35.7,0.8264,0.9726
2021-12-01,Balaghat,Underground,38000,36560,1440,3.79,13.1,11.5,0.0,19.0,0.8469,0.9621
2021-12-01,Dongri Buzurg,Opencast,32000,27480,4520,14.12,32.6,13.0,16.4,30.3,0.7851,0.8588
2021-12-01,Chikla,Underground,15000,14650,350,2.33,9.4,22.4,0.6,29.7,0.852,0.9767
2021-12-01,Tirodi,Opencast,13000,11480,1520,11.69,38.8,0.0,12.9,8.6,0.7856,0.8831
2021-12-01,Gumgaon,Underground,11000,11360,0,0.0,11.8,14.4,2.0,22.5,0.8795,1.0327
2021-12-01,Kandri,Opencast,10000,9650,350,3.5,24.4,11.5,4.1,22.2,0.8292,0.965
2021-12-01,Mansar,Opencast,8500,7320,1180,13.88,55.2,1.5,2.9,34.4,0.6986,0.8612
2021-12-01,Ukwa,Underground,9500,9150,350,3.68,13.9,31.5,1.4,25.9,0.8487,0.9632
2022-01-01,Balaghat,Underground,44300,45560,0,0.0,13.7,14.1,6.5,15.4,0.9089,1.0284
2022-01-01,Dongri Buzurg,Opencast,37300,31850,5450,14.61,58.0,20.5,0.3,31.2,0.6916,0.8539
2022-01-01,Chikla,Underground,17500,16540,960,5.49,23.5,0.0,0.2,14.5,0.8353,0.9451
2022-01-01,Tirodi,Opencast,15100,13700,1400,9.27,22.8,35.9,6.5,33.0,0.7907,0.9073
2022-01-01,Gumgaon,Underground,12800,12640,160,1.25,11.6,22.6,0.2,34.3,0.8525,0.9875
2022-01-01,Kandri,Opencast,11600,11500,100,0.86,7.2,27.7,2.4,15.6,0.8541,0.9914
2022-01-01,Mansar,Opencast,9900,8250,1650,16.67,55.4,9.7,13.2,27.8,0.7117,0.8333
2022-01-01,Ukwa,Underground,11100,11640,0,0.0,6.0,0.0,0.9,8.6,0.9105,1.0486
2022-02-01,Balaghat,Underground,44300,42940,1360,3.07,18.8,0.0,0.3,14.9,0.8557,0.9693
2022-02-01,Dongri Buzurg,Opencast,37300,34830,2470,6.62,21.9,15.3,12.5,20.2,0.8577,0.9338
2022-02-01,Chikla,Underground,17500,15810,1690,9.66,30.8,28.5,0.8,36.0,0.7682,0.9034
2022-02-01,Tirodi,Opencast,15100,14350,750,4.97,12.9,11.7,2.9,34.3,0.8192,0.9503
2022-02-01,Gumgaon,Underground,12800,13240,0,0.0,4.1,5.3,0.8,17.8,0.9001,1.0344
2022-02-01,Kandri,Opencast,11600,10660,940,8.1,40.2,21.6,0.8,13.7,0.7867,0.919
2022-02-01,Mansar,Opencast,9900,9630,270,2.73,14.8,8.0,7.3,24.4,0.84,0.9727
2022-02-01,Ukwa,Underground,11100,10470,630,5.68,13.4,15.1,5.5,18.9,0.8561,0.9432
2022-03-01,Balaghat,Underground,44300,42240,2060,4.65,21.9,22.1,3.6,24.1,0.8001,0.9535
2022-03-01,Dongri Buzurg,Opencast,37300,34600,2700,7.24,23.8,13.0,10.7,11.2,0.8242,0.9276
2022-03-01,Chikla,Underground,17500,16260,1240,7.09,13.8,20.7,5.5,23.6,0.8183,0.9291
2022-03-01,Tirodi,Opencast,15100,15410,0,0.0,14.2,4.7,8.9,8.4,0.9103,1.0205
2022-03-01,Gumgaon,Underground,12800,11390,1410,11.02,34.7,24.3,2.7,29.8,0.7849,0.8898
2022-03-01,Kandri,Opencast,11600,9900,1700,14.66,55.4,42.5,5.3,20.6,0.723,0.8534
2022-03-01,Mansar,Opencast,9900,9110,790,7.98,30.8,0.0,3.4,27.2,0.7921,0.9202
2022-03-01,Ukwa,Underground,11100,10810,290,2.61,20.8,28.6,1.9,10.4,0.8443,0.9739
2022-04-01,Balaghat,Underground,39500,36720,2780,7.04,21.5,41.8,3.1,30.1,0.8225,0.9296
2022-04-01,Dongri Buzurg,Opencast,33300,25930,7370,22.13,73.5,1.9,4.9,30.0,0.62,0.7787
2022-04-01,Chikla,Underground,15600,14610,990,6.35,42.6,0.0,0.5,10.1,0.8011,0.9365
2022-04-01,Tirodi,Opencast,13500,13510,0,0.0,9.5,24.8,0.4,33.5,0.8538,1.0007
2022-04-01,Gumgaon,Underground,11400,11370,30,0.26,12.1,0.0,2.2,26.0,0.8712,0.9974
2022-04-01,Kandri,Opencast,10400,9290,1110,10.67,41.1,0.0,11.4,12.5,0.7973,0.8933
2022-04-01,Mansar,Opencast,8800,8760,40,0.45,13.8,3.0,0.1,19.7,0.8333,0.9955
2022-04-01,Ukwa,Underground,9900,9210,690,6.97,22.8,41.9,0.1,20.7,0.8225,0.9303
2022-05-01,Balaghat,Underground,39500,37870,1630,4.13,15.8,14.5,1.1,18.5,0.8638,0.9587
2022-05-01,Dongri Buzurg,Opencast,33300,31260,2040,6.13,21.3,9.1,0.9,35.2,0.7928,0.9387
2022-05-01,Chikla,Underground,15600,15260,340,2.18,16.0,4.8,1.6,11.4,0.8655,0.9782
2022-05-01,Tirodi,Opencast,13500,12430,1070,7.93,34.6,0.0,12.1,16.5,0.7949,0.9207
2022-05-01,Gumgaon,Underground,11400,11610,0,0.0,5.8,14.3,0.2,14.5,0.9236,1.0184
2022-05-01,Kandri,Opencast,10400,9390,1010,9.71,31.6,34.4,0.3,27.9,0.7632,0.9029
2022-05-01,Mansar,Opencast,8800,8590,210,2.39,13.4,31.6,2.4,16.5,0.8734,0.9761
2022-05-01,Ukwa,Underground,9900,9550,350,3.54,3.4,17.5,3.1,27.4,0.877,0.9646
2022-06-01,Balaghat,Underground,39500,31530,7970,20.18,75.6,52.4,0.0,25.8,0.6378,0.7982
2022-06-01,Dongri Buzurg,Opencast,33300,27580,5720,17.18,36.5,63.0,23.4,26.6,0.7777,0.8282
2022-06-01,Chikla,Underground,15600,14050,1550,9.94,30.0,64.3,3.6,34.0,0.7818,0.9006
2022-06-01,Tirodi,Opencast,13500,11370,2130,15.78,51.6,57.0,0.1,10.2,0.7374,0.8422
2022-06-01,Gumgaon,Underground,11400,11470,0,0.0,8.3,20.3,1.5,26.6,0.8602,1.0061
2022-06-01,Kandri,Opencast,10400,8230,2170,20.87,49.3,80.7,1.3,30.6,0.7018,0.7913
2022-06-01,Mansar,Opencast,8800,7930,870,9.89,30.3,77.7,13.4,8.4,0.8218,0.9011
2022-06-01,Ukwa,Underground,9900,9820,80,0.81,5.7,74.6,1.5,8.3,0.9153,0.9919
2022-07-01,Balaghat,Underground,39500,37030,2470,6.25,11.1,292.9,4.2,24.8,0.8566,0.9375
2022-07-01,Dongri Buzurg,Opencast,28300,17300,11000,38.87,70.1,286.4,12.1,18.5,0.6626,0.6113
2022-07-01,Chikla,Underground,15600,13630,1970,12.63,25.0,290.8,1.0,29.5,0.8028,0.8737
2022-07-01,Tirodi,Opencast,11500,8120,3380,29.39,36.4,288.7,23.5,24.7,0.7533,0.7061
2022-07-01,Gumgaon,Underground,11400,10630,770,6.75,20.5,263.6,0.7,20.0,0.8531,0.9325
2022-07-01,Kandri,Opencast,8800,6020,2780,31.59,49.4,277.5,16.8,14.5,0.7648,0.6841
2022-07-01,Mansar,Opencast,7500,5650,1850,24.67,33.4,291.2,17.2,30.2,0.7832,0.7533
2022-07-01,Ukwa,Underground,9900,9410,490,4.95,13.1,274.7,0.1,32.7,0.8165,0.9505
2022-08-01,Balaghat,Underground,39500,32080,7420,18.78,34.8,288.1,2.8,20.7,0.7804,0.8122
2022-08-01,Dongri Buzurg,Opencast,28300,19540,8760,30.95,27.4,305.6,15.9,24.5,0.82,0.6905
2022-08-01,Chikla,Underground,15600,12930,2670,17.12,27.0,288.7,10.9,17.2,0.8096,0.8288
2022-08-01,Tirodi,Opencast,11500,7640,3860,33.57,49.1,282.8,14.7,18.9,0.7566,0.6643
2022-08-01,Gumgaon,Underground,11400,10420,980,8.6,15.5,280.0,2.3,19.3,0.8442,0.914
2022-08-01,Kandri,Opencast,8800,6380,2420,27.5,40.6,288.3,13.2,18.6,0.7639,0.725
2022-08-01,Mansar,Opencast,7500,5530,1970,26.27,27.9,280.7,26.9,19.7,0.8231,0.7373
2022-08-01,Ukwa,Underground,9900,9480,420,4.24,1.5,293.7,13.5,27.0,0.9029,0.9576
2022-09-01,Balaghat,Underground,39500,36490,3010,7.62,24.6,92.0,5.4,16.1,0.8272,0.9238
2022-09-01,Dongri Buzurg,Opencast,33300,29910,3390,10.18,24.7,68.2,0.5,22.1,0.8167,0.8982
2022-09-01,Chikla,Underground,15600,12890,2710,17.37,53.7,87.7,0.4,34.5,0.6886,0.8263
2022-09-01,Tirodi,Opencast,13500,12390,1110,8.22,20.1,96.0,4.9,20.5,0.847,0.9178
2022-09-01,Gumgaon,Underground,11400,10140,1260,11.05,41.8,85.9,0.9,33.1,0.6972,0.8895
2022-09-01,Kandri,Opencast,10400,8950,1450,13.94,33.1,103.3,6.3,32.1,0.7701,0.8606
2022-09-01,Mansar,Opencast,8800,7470,1330,15.11,37.6,87.6,11.6,23.1,0.7661,0.8489
2022-09-01,Ukwa,Underground,9900,9800,100,1.01,8.5,79.2,1.2,30.6,0.8738,0.9899
2022-10-01,Balaghat,Underground,39500,37820,1680,4.25,17.0,21.5,1.2,33.7,0.7998,0.9575
2022-10-01,Dongri Buzurg,Opencast,33300,29870,3430,10.3,31.3,27.2,11.2,26.0,0.792,0.897
2022-10-01,Chikla,Underground,15600,15240,360,2.31,5.9,54.0,0.7,27.7,0.8432,0.9769
2022-10-01,Tirodi,Opencast,13500,13120,380,2.81,12.9,28.0,1.3,26.1,0.858,0.9719
2022-10-01,Gumgaon,Underground,11400,11530,0,0.0,3.5,23.1,2.7,33.8,0.8552,1.0114
2022-10-01,Kandri,Opencast,10400,10190,210,2.02,19.8,84.9,2.3,16.8,0.8772,0.9798
2022-10-01,Mansar,Opencast,8800,8350,450,5.11,9.0,30.3,13.8,12.8,0.8784,0.9489
2022-10-01,Ukwa,Underground,9900,9360,540,5.45,13.1,47.9,7.9,28.3,0.8289,0.9455
2022-11-01,Balaghat,Underground,39500,34560,4940,12.51,23.3,21.2,1.8,31.1,0.7961,0.8749
2022-11-01,Dongri Buzurg,Opencast,33300,33270,30,0.09,23.1,7.0,1.2,8.4,0.8649,0.9991
2022-11-01,Chikla,Underground,15600,13920,1680,10.77,28.7,15.5,3.1,22.6,0.8035,0.8923
2022-11-01,Tirodi,Opencast,13500,12830,670,4.96,28.6,0.0,2.0,19.3,0.8168,0.9504
2022-11-01,Gumgaon,Underground,11400,11280,120,1.05,14.1,41.2,2.0,29.5,0.8728,0.9895
2022-11-01,Kandri,Opencast,10400,10020,380,3.65,18.0,0.0,1.5,13.1,0.8615,0.9635
2022-11-01,Mansar,Opencast,8800,8310,490,5.57,17.2,34.3,3.4,25.5,0.8256,0.9443
2022-11-01,Ukwa,Underground,9900,9190,710,7.17,25.8,0.0,3.8,19.6,0.8311,0.9283
2022-12-01,Balaghat,Underground,39500,37670,1830,4.63,20.1,8.1,1.0,32.7,0.8312,0.9537
2022-12-01,Dongri Buzurg,Opencast,33300,30690,2610,7.84,33.9,13.3,1.4,28.0,0.7683,0.9216
2022-12-01,Chikla,Underground,15600,14300,1300,8.33,27.0,2.2,0.2,28.4,0.7885,0.9167
2022-12-01,Tirodi,Opencast,13500,13860,0,0.0,14.9,0.0,1.5,17.2,0.8959,1.0267
2022-12-01,Gumgaon,Underground,11400,11350,50,0.44,13.8,19.7,2.0,20.8,0.8831,0.9956
2022-12-01,Kandri,Opencast,10400,10200,200,1.92,8.8,0.0,2.1,32.5,0.828,0.9808
2022-12-01,Mansar,Opencast,8800,8280,520,5.91,28.1,0.0,7.0,8.9,0.8381,0.9409
2022-12-01,Ukwa,Underground,9900,7880,2020,20.4,63.5,9.0,0.6,19.7,0.6797,0.796
2023-01-01,Balaghat,Underground,46000,45170,830,1.8,12.2,0.0,7.2,35.4,0.8434,0.982
2023-01-01,Dongri Buzurg,Opencast,38700,32960,5740,14.83,45.9,0.0,0.7,13.4,0.7861,0.8517
2023-01-01,Chikla,Underground,18100,18170,0,0.0,10.3,13.2,0.2,23.6,0.8842,1.0039
2023-01-01,Tirodi,Opencast,15700,12270,3430,21.85,76.5,11.5,10.4,11.4,0.6854,0.7815
2023-01-01,Gumgaon,Underground,13300,11800,1500,11.28,53.3,0.0,1.5,24.6,0.7316,0.8872
2023-01-01,Kandri,Opencast,12100,11810,290,2.4,26.1,0.0,2.2,8.1,0.8513,0.976
2023-01-01,Mansar,Opencast,10300,10030,270,2.62,8.6,0.0,1.3,23.9,0.8797,0.9738
2023-01-01,Ukwa,Underground,11500,10920,580,5.04,9.2,0.0,0.2,21.7,0.8788,0.9496
2023-02-01,Balaghat,Underground,46000,45560,440,0.96,10.2,0.0,3.3,31.1,0.8418,0.9904
2023-02-01,Dongri Buzurg,Opencast,38700,35480,3220,8.32,21.1,8.6,3.9,10.3,0.8511,0.9168
2023-02-01,Chikla,Underground,18100,18010,90,0.5,8.6,37.9,0.8,17.8,0.9002,0.995
2023-02-01,Tirodi,Opencast,15700,13990,1710,10.89,36.3,22.5,3.1,29.3,0.7834,0.8911
2023-02-01,Gumgaon,Underground,13300,13030,270,2.03,6.1,11.2,4.4,32.7,0.8517,0.9797
2023-02-01,Kandri,Opencast,12100,12040,60,0.5,9.4,2.4,0.6,25.6,0.8776,0.995
2023-02-01,Mansar,Opencast,10300,9990,310,3.01,5.2,23.8,3.4,24.5,0.8764,0.9699
2023-02-01,Ukwa,Underground,11500,11300,200,1.74,13.1,36.3,4.7,15.9,0.8654,0.9826
2023-03-01,Balaghat,Underground,46000,42590,3410,7.41,39.3,1.9,1.0,10.4,0.812,0.9259
2023-03-01,Dongri Buzurg,Opencast,38700,40210,0,0.0,7.0,0.0,4.7,8.1,0.9224,1.039
2023-03-01,Chikla,Underground,18100,17880,220,1.22,4.5,0.0,0.0,24.7,0.8672,0.9878
2023-03-01,Tirodi,Opencast,15700,15370,330,2.1,22.4,8.3,2.0,10.9,0.8429,0.979
2023-03-01,Gumgaon,Underground,13300,12830,470,3.53,21.0,18.0,2.1,13.4,0.8816,0.9647
2023-03-01,Kandri,Opencast,12100,10530,1570,12.98,42.9,0.0,15.4,21.1,0.7794,0.8702
2023-03-01,Mansar,Opencast,10300,9490,810,7.86,20.8,14.4,3.4,19.5,0.8336,0.9214
2023-03-01,Ukwa,Underground,11500,11260,240,2.09,7.1,26.9,7.9,35.1,0.8664,0.9791
2023-04-01,Balaghat,Underground,41000,38940,2060,5.02,21.8,20.0,0.1,35.4,0.807,0.9498
2023-04-01,Dongri Buzurg,Opencast,34600,29980,4620,13.35,56.6,0.0,14.4,36.0,0.6649,0.8665
2023-04-01,Chikla,Underground,16200,15290,910,5.62,8.4,0.0,2.6,30.0,0.8372,0.9438
2023-04-01,Tirodi,Opencast,14000,12840,1160,8.29,35.0,3.1,0.1,9.5,0.8223,0.9171
2023-04-01,Gumgaon,Underground,11900,11930,0,0.0,8.5,0.0,1.7,11.3,0.8779,1.0025
2023-04-01,Kandri,Opencast,10800,10790,10,0.09,11.4,11.8,10.0,17.1,0.8938,0.9991
2023-04-01,Mansar,Opencast,9200,8900,300,3.26,11.7,34.3,0.5,25.4,0.8664,0.9674
2023-04-01,Ukwa,Underground,10300,10050,250,2.43,18.7,8.7,4.6,16.6,0.8479,0.9757
2023-05-01,Balaghat,Underground,41000,38190,2810,6.85,35.3,0.0,0.8,30.3,0.7506,0.9315
2023-05-01,Dongri Buzurg,Opencast,34600,29730,4870,14.08,52.8,7.8,2.0,28.8,0.724,0.8592
2023-05-01,Chikla,Underground,16200,15790,410,2.53,11.0,17.4,2.4,19.6,0.8703,0.9747
2023-05-01,Tirodi,Opencast,14000,13650,350,2.5,6.8,0.0,4.4,24.4,0.8634,0.975
2023-05-01,Gumgaon,Underground,11900,11470,430,3.61,21.4,8.9,4.1,36.0,0.8024,0.9639
2023-05-01,Kandri,Opencast,10800,10380,420,3.89,18.1,25.2,4.7,29.5,0.8238,0.9611
2023-05-01,Mansar,Opencast,9200,9160,40,0.43,10.3,5.9,1.0,26.2,0.8647,0.9957
2023-05-01,Ukwa,Underground,10300,10110,190,1.84,17.4,20.0,1.2,19.2,0.8278,0.9816
2023-06-01,Balaghat,Underground,41000,38380,2620,6.39,31.0,120.2,1.7,9.8,0.835,0.9361
2023-06-01,Dongri Buzurg,Opencast,34600,31720,2880,8.32,9.7,108.0,1.1,33.8,0.8267,0.9168
2023-06-01,Chikla,Underground,16200,15190,1010,6.23,22.9,115.7,1.4,13.0,0.8378,0.9377
2023-06-01,Tirodi,Opencast,14000,11870,2130,15.21,21.5,151.1,0.2,30.7,0.8104,0.8479
2023-06-01,Gumgaon,Underground,11900,12380,0,0.0,2.4,124.9,0.6,14.0,0.9244,1.0403
2023-06-01,Kandri,Opencast,10800,10190,610,5.65,4.9,93.6,3.0,15.9,0.8654,0.9435
2023-06-01,Mansar,Opencast,9200,8680,520,5.65,8.0,126.6,0.5,19.1,0.8594,0.9435
2023-06-01,Ukwa,Underground,10300,10370,0,0.0,17.9,123.6,1.3,24.6,0.8578,1.0068
2023-07-01,Balaghat,Underground,41000,38700,2300,5.61,12.2,221.0,2.5,20.5,0.867,0.9439
2023-07-01,Dongri Buzurg,Opencast,29400,17500,11900,40.48,79.6,204.0,14.9,35.6,0.6259,0.5952
2023-07-01,Chikla,Underground,16200,15720,480,2.96,7.4,199.7,0.0,17.8,0.8758,0.9704
2023-07-01,Tirodi,Opencast,11900,8360,3540,29.75,50.2,198.4,22.6,16.6,0.7488,0.7025
2023-07-01,Gumgaon,Underground,11900,10470,1430,12.02,33.2,227.0,1.4,17.8,0.834,0.8798
2023-07-01,Kandri,Opencast,9200,7240,1960,21.3,30.0,222.1,20.0,18.2,0.8138,0.787
